GEM location ID,bus_id
L100000823362,gen1
L100000823363,gen0
L100000823364,gen4
L100000823365,gen1
L100000823366,gen4
L100000823367,gen1
L100000823369,gen1
L100000823370,gen0
L100000823371,gen4
L100000823372,gen4
L100000823373,gen4
L100000823375,gen0
L100000823376,gen4
L100000823377,gen1
L100000823378,gen1
L100000823379,gen1
L100000823380,gen4
L100000823383,gen2
L100000823384,gen2
L100000823385,gen2
L100000823386,gen2
L100000823387,gen4
L100000823388,gen0
L100001003902,gen0
L100000822921,gen0
L100000823391,gen4
L100000823392,gen4
L100000823393,gen3
L100000823394,gen0
L100000823553,gen2
L100000823395,gen2
L100000823397,gen4
L100000823398,gen2
L100000823399,gen2
L100000823400,gen1
L100000823401,gen3
L100000823402,gen4
L100000823403,gen4
L100000823404,gen1
L100000823405,gen2
L100000823406,gen2
L100000823407,gen2
L100000823408,gen2
L100000823410,gen2
L100000823411,gen2
L100000823412,gen2
L100000823413,gen2
L100000823414,gen1
L100000823415,gen1
L100000823416,gen1
L100000823417,gen1
L100000823418,gen1
L100000823419,gen4
L100000823421,gen1
L100000823422,gen1
L100000823423,gen1
L100000823424,gen1
L100000823425,gen1
L100000823426,gen1
L100000823427,gen1
L100000823428,gen1
L100000823429,gen1
L100000823430,gen1
L100000823431,gen1
L100000823432,gen1
L100000823433,gen4
L100000823434,gen1
L100000823435,gen1
L100000823436,gen1
L100000823437,gen1
L100000823438,gen0
L100000823439,gen0
L100000823440,gen0
L100000823441,gen0
L100000823442,gen0
L100000823443,gen0
L100000823444,gen1
L100000823445,gen4
L100000823446,gen4
L100000823447,gen4
L100000823448,gen4
L100000823450,gen4
L100000823451,gen1
L100000823452,gen4
L100000823453,gen4
L100000823454,gen4
L100000823455,gen4
L100000823456,gen2
L100000823458,gen3
L100000823459,gen3
L100000823460,gen3
L100000823461,gen0
L100000823462,gen0
L100000823463,gen0
L100000823464,gen1
L100000823465,gen2
L100000823466,gen2
L100000823467,gen1
L100000823468,gen1
L100000823469,gen1
L100000823470,gen1
L100000823471,gen1
L100000823472,gen1
L100000823473,gen1
L100000823474,gen4
L100000823475,gen0
L100000823476,gen4
L100000823477,gen4
L100000823478,gen4
L100000823479,gen4
L100000823480,gen4
L100000823481,gen0
L100000823482,gen0
L100000823483,gen0
L100000823484,gen0
L100000823485,gen0
L100000823486,gen0
L100000823487,gen3
L100000823488,gen3
L100000823490,gen4
L100000823491,gen1
L100000823492,gen4
L100000823493,gen4
L100000823494,gen4
L100000822906,gen3
L100000823496,gen0
L100000823497,gen1
L100000823498,gen3
L100000823499,gen0
L100000823501,gen3
L100000823502,gen3
L100000823503,gen0
L100000823504,gen0
L100000823505,gen1
L100000823506,gen1
L100000823507,gen1
L100000823508,gen1
L100000823509,gen1
L100000823510,gen1
L100000823511,gen1
L100000823512,gen1
L100000823513,gen3
L100000823514,gen4
L100000823515,gen4
L100000823516,gen4
L100000823517,gen4
L100000823518,gen4
L100000823519,gen4
L100000823520,gen3
L100000823521,gen3
L100000823522,gen3
L100000823523,gen2
L100000823525,gen1
L100000823526,gen1
L100000823527,gen1
L100000823528,gen1
L100000823529,gen1
L100000823530,gen1
L100000823531,gen1
L100000823532,gen1
L100000823533,gen1
L100000823534,gen1
L100000823535,gen0
L100000823536,gen0
L100000823537,gen4
L100000823538,gen1
L100000823539,gen1
L100000823541,gen2
L100000823542,gen1
L100000823543,gen1
L100000823544,gen0
L100000822846,gen1
L100000823546,gen4
L100000823547,gen4
L100000823548,gen4
L100000823549,gen4
L100000823550,gen4
L100000823551,gen4
L100000823554,gen0
L100000823555,gen2
L100000823557,gen1
L100000823558,gen4
L100000823559,gen4
L100000823560,gen4
L100000823561,gen1
L100000823562,gen1
L100000823563,gen1
L100000823565,gen1
L100000823566,gen1
L100000823567,gen1
L100000823569,gen1
L100000823571,gen1
L100000823572,gen1
L100000823573,gen0
L100000823574,gen1
L100000823576,gen4
L100000823577,gen4
L100000823578,gen4
L100000823579,gen4
L100000823580,gen2
L100000823581,gen2
L100000823582,gen0
L100000823583,gen0
L100000823584,gen1
L100000823585,gen4
L100000823586,gen1
L100000823587,gen1
L100000823588,gen2
L100000823589,gen1
L100000823590,gen1
L100000823591,gen1
L100000823187,gen0
L100000823593,gen1
L100000823594,gen4
L100000823595,gen4
L100000823596,gen4
L100000823597,gen1
L100000823598,gen1
L100000823599,gen1
L100000823600,gen4
L100000823602,gen4
L100000823604,gen0
L100000823605,gen1
L100000823606,gen1
L100000823607,gen4
L100000823608,gen4
L100000823609,gen4
L100000823610,gen4
L100000823611,gen4
L100000823612,gen4
L100000823613,gen4
L100000823614,gen4
L100000823615,gen1
L100000823616,gen0
L100000823617,gen4
L100000823618,gen1
L100000823619,gen0
L100000823620,gen4
L100000823621,gen4
L100000823622,gen4
L100000823623,gen4
L100000823624,gen4
L100000823625,gen1
L100000823626,gen1
L100000823628,gen1
L100000823629,gen1
L100000823630,gen1
L100000823631,gen1
L100000823632,gen4
